Time [s],Channel 0,Channel 4,Channel 5
0.000000000,0,0,1
0.000851375,0,0,0
0.000853292,0,1,0
0.000854042,1,1,0
0.000855167,0,1,0
0.000856542,1,1,0
0.000857708,0,1,0
0.000859083,1,1,0
0.000860208,0,1,0
0.000860958,0,0,0
0.000861458,1,0,0
0.000862583,0,0,0
0.000863875,1,0,0
0.000865000,0,0,0
0.000866250,1,0,0
0.000867375,0,0,0
0.000868625,1,0,0
0.000869792,0,0,0
0.000870417,0,1,0
0.000871167,1,1,0
0.000872167,0,1,0
0.000874458,0,0,0
0.000874958,1,0,0
0.000876083,0,0,0
0.000877333,1,0,0
0.000878458,0,0,0
0.000879708,1,0,0
0.000880875,0,0,0
0.000882125,1,0,0
0.000883250,0,0,0
0.000884500,1,0,0
0.000885667,0,0,0
0.000886917,1,0,0
0.000888042,0,0,0
0.000889292,1,0,0
0.000890417,0,0,0
0.000891708,1,0,0
0.000892708,0,0,0
0.000893458,0,0,1
0.000897125,0,0,0
0.000899000,0,1,0
0.000899750,1,1,0
0.000900875,0,1,0
0.000902292,1,1,0
0.000903417,0,1,0
0.000904792,1,1,0
0.000905917,0,1,0
0.000906667,0,0,0
0.000907167,1,0,0
0.000908333,0,0,0
0.000909583,1,0,0
0.000910708,0,0,0
0.000911958,1,0,0
0.000913125,0,0,0
0.000913750,0,1,0
0.000914500,1,1,0
0.000915625,0,1,0
0.000916375,0,0,0
0.000916875,1,0,0
0.000917875,0,0,0
0.000920667,1,0,0
0.000921792,0,0,0
0.000923042,1,0,0
0.000924208,0,0,0
0.000925458,1,0,0
0.000926583,0,0,0
0.000927833,1,0,0
0.000928958,0,0,0
0.000930250,1,0,0
0.000931375,0,0,0
0.000932625,1,0,0
0.000933750,0,0,0
0.000935042,1,0,0
0.000936167,0,0,0
0.000937417,1,0,0
0.000938417,0,0,0
0.000939167,0,0,1
0.000942958,0,0,0
0.000945458,1,0,0
0.000946625,0,0,0
0.000947875,1,0,0
0.000949000,0,0,0
0.000949625,0,1,0
0.000950375,1,1,0
0.000951542,0,1,0
0.000952292,0,0,0
0.000952792,1,0,0
0.000953917,0,0,0
0.000955167,1,0,0
0.000956292,0,0,0
0.000956958,0,1,0
0.000957708,1,1,0
0.000958833,0,1,0
0.000960208,1,1,0
0.000961333,0,1,0
0.000962750,1,1,0
0.000963750,0,1,0
0.000966000,0,0,0
0.000966500,1,0,0
0.000967667,0,0,0
0.000968292,0,1,0
0.000969042,1,1,0
0.000970167,0,1,0
0.000971542,1,1,0
0.000972708,0,1,0
0.000974083,1,1,0
0.000975208,0,1,0
0.000975958,0,0,0
0.000976458,1,0,0
0.000977625,0,0,0
0.000978875,1,0,0
0.000980000,0,0,0
0.000981250,1,0,0
0.000982375,0,0,0
0.000983667,1,0,0
0.000984667,0,0,0
0.000985417,0,0,1
0.001051583,0,0,0
0.001054083,1,0,0
0.001055208,0,0,0
0.001056500,1,0,0
0.001057625,0,0,0
0.001058250,0,1,0
0.001059000,1,1,0
0.001060125,0,1,0
0.001060917,0,0,0
0.001061417,1,0,0
0.001062542,0,0,0
0.001063792,1,0,0
0.001064917,0,0,0
0.001065542,0,1,0
0.001066333,1,1,0
0.001067458,0,1,0
0.001068208,0,0,0
0.001068708,1,0,0
0.001069833,0,0,0
0.001070458,0,1,0
0.001071208,1,1,0
0.001072250,0,1,0
0.001074500,0,0,0
0.001075000,1,0,0
0.001076125,0,0,0
0.001077417,1,0,0
0.001078542,0,0,0
0.001079167,0,1,0
0.001079917,1,1,0
0.001081042,0,1,0
0.001081792,0,0,0
0.001082333,1,0,0
0.001083458,0,0,0
0.001084708,1,0,0
0.001085833,0,0,0
0.001087083,1,0,0
0.001088250,0,0,0
0.001088875,0,1,0
0.001089625,1,1,0
0.001090750,0,1,0
0.001091500,0,0,0
0.001092000,1,0,0
0.001093042,0,0,0
0.001093792,0,0,1
0.001097792,0,0,0
0.001100333,1,0,0
0.001101458,0,0,0
0.001102708,1,0,0
0.001103875,0,0,0
0.001104500,0,1,0
0.001105250,1,1,0
0.001106375,0,1,0
0.001107125,0,0,0
0.001107625,1,0,0
0.001108750,0,0,0
0.001110042,1,0,0
0.001111167,0,0,0
0.001112417,1,0,0
0.001113542,0,0,0
