Time [s],Channel 0,Channel 4,Channel 5
0.000000000,0,0,1
0.001753000,0,0,0
0.001755375,1,0,0
0.001756500,0,0,0
0.001757750,1,0,0
0.001758875,0,0,0
0.001760167,1,0,0
0.001761292,0,0,0
0.001762542,1,0,0
0.001763667,0,0,0
0.001764917,1,0,0
0.001766083,0,0,0
0.001766708,0,1,0
0.001767458,1,1,0
0.001768583,0,1,0
0.001769958,1,1,0
0.001771083,0,1,0
0.001772500,1,1,0
0.001773500,0,1,0
0.001774500,0,0,0
0.001775375,1,0,0
0.001776875,0,0,0
0.001777375,1,0,0
0.001778917,0,1,0
0.001779417,1,1,0
0.001780917,0,0,0
0.001781417,1,0,0
0.001782917,0,1,0
0.001783417,1,1,0
0.001784917,0,1,0
0.001785458,1,1,0
0.001786958,0,1,0
0.001787458,1,1,0
0.001788958,0,0,0
0.001789458,1,0,0
0.001790833,0,0,0
0.001791625,0,0,1
0.001791792,0,1,1
0.001796375,0,1,0
0.001799042,1,1,0
0.001800167,0,1,0
0.001801542,1,1,0
0.001802667,0,1,0
0.001804042,1,1,0
0.001805208,0,1,0
0.001805958,0,0,0
0.001806458,1,0,0
0.001807583,0,0,0
0.001808833,1,0,0
0.001809958,0,0,0
0.001811250,1,0,0
0.001812375,0,0,0
0.001813625,1,0,0
0.001814750,0,0,0
0.001815375,0,1,0
0.001816125,1,1,0
0.001817125,0,1,0
0.001819417,0,0,0
0.001819917,1,0,0
0.001821042,0,0,0
0.001822292,1,0,0
0.001823458,0,0,0
0.001824708,1,0,0
0.001825833,0,0,0
0.001827083,1,0,0
0.001828208,0,0,0
0.001829458,1,0,0
0.001830625,0,0,0
0.001831875,1,0,0
0.001833000,0,0,0
0.001834250,1,0,0
0.001835375,0,0,0
0.001836667,1,0,0
0.001837667,0,0,0
0.001838417,0,0,1
0.001842042,0,0,0
0.001843958,0,1,0
0.001844708,1,1,0
0.001845833,0,1,0
0.001847208,1,1,0
0.001848333,0,1,0
0.001849708,1,1,0
0.001850875,0,1,0
0.001851625,0,0,0
0.001852125,1,0,0
0.001853250,0,0,0
0.001854500,1,0,0
0.001855625,0,0,0
0.001856917,1,0,0
0.001858042,0,0,0
0.001858667,0,1,0
0.001859417,1,1,0
0.001860542,0,1,0
0.001861292,0,0,0
0.001861792,1,0,0
0.001862792,0,0,0
0.001865583,1,0,0
0.001866708,0,0,0
0.001867958,1,0,0
0.001869083,0,0,0
0.001870375,1,0,0
0.001871500,0,0,0
0.001872750,1,0,0
0.001873875,0,0,0
0.001875125,1,0,0
0.001876250,0,0,0
0.001877542,1,0,0
0.001878667,0,0,0
0.001879917,1,0,0
0.001881042,0,0,0
0.001882292,1,0,0
0.001883333,0,0,0
0.001884083,0,0,1
0.001887833,0,0,0
0.001890375,1,0,0
0.001891500,0,0,0
0.001892750,1,0,0
0.001893875,0,0,0
0.001894500,0,1,0
0.001895250,1,1,0
0.001896375,0,1,0
0.001897167,0,0,0
0.001897667,1,0,0
0.001898792,0,0,0
0.001900042,1,0,0
0.001901167,0,0,0
0.001901792,0,1,0
0.001902542,1,1,0
0.001903708,0,1,0
0.001905083,1,1,0
0.001906208,0,1,0
0.001907583,1,1,0
0.001908583,0,1,0
0.001910875,0,0,0
0.001911375,1,0,0
0.001912500,0,0,0
0.001913125,0,1,0
0.001913875,1,1,0
0.001915000,0,1,0
0.001916375,1,1,0
0.001917542,0,1,0
0.001918917,1,1,0
0.001920042,0,1,0
0.001920792,0,0,0
0.001921292,1,0,0
0.001922417,0,0,0
0.001923667,1,0,0
0.001924833,0,0,0
0.001926083,1,0,0
0.001927208,0,0,0
0.001928458,1,0,0
0.001929458,0,0,0
0.001930208,0,0,1
0.004761792,0,0,0
0.004763708,0,1,0
0.004764458,1,1,0
0.004765583,0,1,0
0.004766958,1,1,0
0.004768083,0,1,0
0.004769458,1,1,0
0.004770625,0,1,0
0.004771375,0,0,0
0.004771875,1,0,0
0.004773000,0,0,0
0.004774250,1,0,0
0.004775375,0,0,0
0.004776667,1,0,0
0.004777792,0,0,0
0.004779042,1,0,0
0.004780167,0,0,0
0.004780792,0,1,0
0.004781542,1,1,0
0.004782542,0,1,0
0.004784833,0,0,0
0.004785333,1,0,0
0.004786458,0,0,0
0.004787708,1,0,0
0.004788833,0,0,0
0.004790125,1,0,0
0.004791250,0,0,0
0.004792500,1,0,0
0.004793625,0,0,0
0.004794875,1,0,0
0.004796000,0,0,0
0.004797292,1,0,0
0.004798417,0,0,0
0.004799667,1,0,0
0.004800792,0,0,0
0.004802042,1,0,0
0.004803042,0,0,0
0.004803833,0,0,1
0.004807458,0,0,0
0.004809333,0,1,0
0.004810083,1,1,0
0.004811250,0,1,0
0.004812625,1,1,0
0.004813750,0,1,0
0.004815125,1,1,0
0.004816250,0,1,0
0.004817000,0,0,0
0.004817500,1,0,0
0.004818667,0,0,0
0.004819917,1,0,0
0.004821042,0,0,0
0.004822292,1,0,0
0.004823417,0,0,0
0.004824042,0,1,0
0.004824833,1,1,0
0.004825958,0,1,0
0.004826708,0,0,0
0.004827208,1,0,0
0.004828208,0,0,0
0.004830958,1,0,0
0.004832125,0,0,0
0.004833375,1,0,0
0.004834500,0,0,0
0.004835750,1,0,0
0.004836875,0,0,0
0.004838125,1,0,0
0.004839292,0,0,0
0.004840542,1,0,0
0.004841667,0,0,0
0.004842917,1,0,0
0.004844042,0,0,0
0.004845292,1,0,0
0.004846458,0,0,0
0.004847708,1,0,0
0.004848708,0,0,0
0.004849458,0,0,1
0.004853208,0,0,0
0.004855750,1,0,0
0.004856875,0,0,0
0.004858125,1,0,0
0.004859250,0,0,0
0.004859875,0,1,0
0.004860667,1,1,0
0.004861792,0,1,0
0.004862542,0,0,0
0.004863042,1,0,0
0.004864167,0,0,0
0.004865417,1,0,0
0.004866542,0,0,0
0.004867167,0,1,0
0.004867958,1,1,0
0.004869083,0,1,0
0.004870458,1,1,0
0.004871583,0,1,0
0.004872958,1,1,0
0.004873958,0,1,0
0.004876250,0,0,0
0.004876750,1,0,0
0.004877875,0,0,0
0.004878500,0,1,0
0.004879250,1,1,0
0.004880375,0,1,0
0.004881750,1,1,0
0.004882917,0,1,0
0.004884292,1,1,0
0.004885417,0,1,0
0.004886167,0,0,0
0.004886667,1,0,0
0.004887792,0,0,0
0.004889042,1,0,0
0.004890208,0,0,0
0.004891458,1,0,0
0.004892583,0,0,0
0.004893833,1,0,0
0.004894833,0,0,0
0.004895583,0,0,1
0.004959625,0,0,0
0.004962167,1,0,0
0.004963292,0,0,0
0.004964542,1,0,0
0.004965667,0,0,0
0.004966333,0,1,0
0.004967083,1,1,0
0.004968208,0,1,0
0.004968958,0,0,0
0.004969458,1,0,0
0.004970583,0,0,0
0.004971833,1,0,0
0.004973000,0,0,0
0.004973625,0,1,0
0.004974375,1,1,0
0.004975500,0,1,0
0.004976250,0,0,0
0.004976750,1,0,0
0.004977875,0,0,0
0.004978500,0,1,0
0.004979292,1,1,0
0.004980292,0,1,0
0.004982542,0,0,0
0.004983042,1,0,0
0.004984167,0,0,0
0.004985458,1,0,0
0.004986583,0,0,0
0.004987833,1,0,0
0.004988958,0,0,0
0.004990208,1,0,0
0.004991333,0,0,0
0.004992625,1,0,0
0.004993750,0,0,0
0.004995000,1,0,0
0.004996125,0,0,0
0.004997375,1,0,0
0.004998542,0,0,0
0.004999167,0,1,0
0.004999917,1,1,0
0.005000917,0,1,0
0.005001667,0,1,1
0.005005708,0,1,0
0.005007708,0,0,0
0.005008208,1,0,0
0.005009333,0,0,0
0.005010625,1,0,0
0.005011750,0,0,0
0.005012375,0,1,0
0.005013125,1,1,0
0.005014250,0,1,0
0.005015000,0,0,0
0.005015500,1,0,0
0.005016667,0,0,0
0.005017917,1,0,0
0.005019042,0,0,0
0.005020292,1,0,0
0.005021417,0,0,0
0.005022708,1,0,0
0.005023833,0,0,0
0.005025083,1,0,0
0.005026083,0,0,0
0.005028208,0,1,0
0.005029000,1,1,0
0.005030125,0,1,0
0.005030875,0,0,0
0.005031375,1,0,0
0.005032500,0,0,0
0.005033750,1,0,0
0.005034875,0,0,0
0.005036167,1,0,0
0.005037292,0,0,0
0.005037917,0,1,0
0.005038667,1,1,0
0.005039792,0,1,0
0.005041167,1,1,0
0.005042333,0,1,0
0.005043708,1,1,0
0.005044833,0,1,0
