Time [s],Channel 0,Channel 4,Channel 5
0.000000000,0,0,1
0.005342583,0,0,0
0.005344958,1,0,0
0.005346125,0,0,0
0.005347375,1,0,0
0.005348500,0,0,0
0.005349750,1,0,0
0.005350875,0,0,0
0.005352167,1,0,0
0.005353292,0,0,0
0.005354542,1,0,0
0.005355667,0,0,0
0.005356292,0,1,0
0.005357083,1,1,0
0.005358208,0,1,0
0.005359583,1,1,0
0.005360708,0,1,0
0.005362083,1,1,0
0.005363125,0,1,0
0.005364125,0,0,0
0.005365000,1,0,0
0.005366500,0,0,0
0.005367000,1,0,0
0.005368542,0,1,0
0.005369042,1,1,0
0.005370542,0,0,0
0.005371042,1,0,0
0.005372542,0,0,0
0.005372583,0,1,0
0.005373042,1,1,0
0.005374583,0,1,0
0.005375083,1,1,0
0.005376583,0,1,0
0.005377083,1,1,0
0.005378583,0,1,0
0.005378625,0,0,0
0.005379083,1,0,0
0.005380500,0,0,0
0.005381250,0,0,1
0.005381458,0,1,1
0.005386042,0,1,0
0.005388667,1,1,0
0.005389792,0,1,0
0.005391208,1,1,0
0.005392333,0,1,0
0.005393708,1,1,0
0.005394833,0,1,0
0.005395583,0,0,0
0.005396083,1,0,0
0.005397250,0,0,0
0.005398500,1,0,0
0.005399625,0,0,0
0.005400875,1,0,0
0.005402000,0,0,0
0.005403292,1,0,0
0.005404417,0,0,0
0.005405042,0,1,0
0.005405792,1,1,0
0.005406792,0,1,0
0.005409083,0,0,0
0.005409583,1,0,0
0.005410708,0,0,0
0.005411958,1,0,0
0.005413083,0,0,0
0.005414333,1,0,0
0.005415500,0,0,0
0.005416750,1,0,0
0.005417875,0,0,0
0.005419125,1,0,0
0.005420292,0,0,0
0.005421542,1,0,0
0.005422667,0,0,0
0.005423917,1,0,0
0.005425042,0,0,0
0.005426333,1,0,0
0.005427333,0,0,0
0.005428083,0,0,1
0.005431750,0,0,0
0.005433625,0,1,0
0.005434375,1,1,0
0.005435500,0,1,0
0.005436917,1,1,0
0.005438042,0,1,0
0.005439417,1,1,0
0.005440542,0,1,0
0.005441292,0,0,0
0.005441792,1,0,0
0.005442958,0,0,0
0.005444208,1,0,0
0.005445333,0,0,0
0.005446583,1,0,0
0.005447708,0,0,0
0.005448375,0,1,0
0.005449125,1,1,0
0.005450250,0,1,0
0.005451000,0,0,0
0.005451500,1,0,0
0.005452500,0,0,0
0.005455292,1,0,0
0.005456417,0,0,0
0.005457667,1,0,0
0.005458792,0,0,0
0.005460083,1,0,0
0.005461208,0,0,0
0.005462458,1,0,0
0.005463583,0,0,0
0.005464833,1,0,0
0.005466000,0,0,0
0.005467250,1,0,0
0.005468375,0,0,0
0.005469625,1,0,0
0.005470792,0,0,0
0.005472042,1,0,0
0.005473042,0,0,0
0.005473792,0,0,1
0.005477583,0,0,0
0.005480083,1,0,0
0.005481208,0,0,0
0.005482458,1,0,0
0.005483625,0,0,0
0.005484250,0,1,0
0.005485000,1,1,0
0.005486125,0,1,0
0.005486875,0,0,0
0.005487375,1,0,0
0.005488542,0,0,0
0.005489792,1,0,0
0.005490917,0,0,0
0.005491542,0,1,0
0.005492292,1,1,0
0.005493417,0,1,0
0.005494833,1,1,0
0.005495958,0,1,0
0.005497333,1,1,0
0.005498333,0,1,0
0.005500625,0,0,0
0.005501125,1,0,0
0.005502250,0,0,0
0.005502875,0,1,0
0.005503625,1,1,0
0.005504750,0,1,0
0.005506167,1,1,0
0.005507292,0,1,0
0.005508667,1,1,0
0.005509792,0,1,0
0.005510542,0,0,0
0.005511042,1,0,0
0.005512208,0,0,0
0.005513458,1,0,0
0.005514583,0,0,0
0.005515833,1,0,0
0.005516958,0,0,0
0.005518250,1,0,0
0.005519250,0,0,0
0.005520000,0,0,1
0.008354833,0,0,0
0.008356708,0,1,0
0.008357458,1,1,0
0.008358583,0,1,0
0.008360000,1,1,0
0.008361125,0,1,0
0.008362500,1,1,0
0.008363625,0,1,0
0.008364375,0,0,0
0.008364917,1,0,0
0.008366042,0,0,0
0.008367292,1,0,0
0.008368417,0,0,0
0.008369667,1,0,0
0.008370792,0,0,0
0.008372083,1,0,0
0.008373208,0,0,0
0.008373833,0,1,0
0.008374583,1,1,0
0.008375583,0,1,0
0.008377875,0,0,0
0.008378375,1,0,0
0.008379500,0,0,0
0.008380750,1,0,0
0.008381875,0,0,0
0.008383167,1,0,0
0.008384292,0,0,0
0.008385542,1,0,0
0.008386667,0,0,0
0.008387917,1,0,0
0.008389083,0,0,0
0.008390333,1,0,0
0.008391458,0,0,0
0.008392708,1,0,0
0.008393833,0,0,0
0.008395125,1,0,0
0.008396125,0,0,0
0.008396875,0,0,1
0.008400542,0,0,0
0.008402417,0,1,0
0.008403167,1,1,0
0.008404292,0,1,0
0.008405708,1,1,0
0.008406833,0,1,0
0.008408208,1,1,0
0.008409333,0,1,0
0.008410083,0,0,0
0.008410583,1,0,0
0.008411750,0,0,0
0.008413000,1,0,0
0.008414125,0,0,0
0.008415375,1,0,0
0.008416500,0,0,0
0.008417125,0,1,0
0.008417917,1,1,0
0.008419042,0,1,0
0.008419792,0,0,0
0.008420292,1,0,0
0.008421292,0,0,0
0.008424083,1,0,0
0.008425208,0,0,0
0.008426458,1,0,0
0.008427583,0,0,0
0.008428833,1,0,0
0.008430000,0,0,0
0.008431250,1,0,0
0.008432375,0,0,0
0.008433625,1,0,0
0.008434750,0,0,0
0.008436042,1,0,0
0.008437167,0,0,0
0.008438417,1,0,0
0.008439542,0,0,0
0.008440833,1,0,0
0.008441833,0,0,0
0.008442583,0,0,1
0.008446333,0,0,0
0.008448875,1,0,0
0.008450000,0,0,0
0.008451250,1,0,0
0.008452375,0,0,0
0.008453042,0,1,0
0.008453792,1,1,0
0.008454917,0,1,0
0.008455667,0,0,0
0.008456167,1,0,0
0.008457292,0,0,0
0.008458542,1,0,0
0.008459708,0,0,0
0.008460333,0,1,0
0.008461083,1,1,0
0.008462208,0,1,0
0.008463583,1,1,0
0.008464708,0,1,0
0.008466125,1,1,0
0.008467125,0,1,0
0.008469375,0,0,0
0.008469875,1,0,0
0.008471000,0,0,0
0.008471667,0,1,0
0.008472417,1,1,0
0.008473542,0,1,0
0.008474917,1,1,0
0.008476042,0,1,0
0.008477417,1,1,0
0.008478583,0,1,0
0.008479333,0,0,0
0.008479833,1,0,0
0.008480958,0,0,0
0.008482208,1,0,0
0.008483333,0,0,0
0.008484625,1,0,0
0.008485750,0,0,0
0.008487000,1,0,0
0.008488000,0,0,0
0.008488750,0,0,1
0.008554833,0,0,0
0.008557333,1,0,0
0.008558500,0,0,0
0.008559750,1,0,0
0.008560875,0,0,0
0.008561500,0,1,0
0.008562250,1,1,0
0.008563375,0,1,0
0.008564167,0,0,0
0.008564667,1,0,0
0.008565792,0,0,0
0.008567042,1,0,0
0.008568167,0,0,0
0.008568792,0,1,0
0.008569542,1,1,0
0.008570708,0,1,0
0.008571458,0,0,0
0.008571958,1,0,0
0.008573083,0,0,0
0.008573708,0,1,0
0.008574458,1,1,0
0.008575458,0,1,0
0.008577750,0,0,0
0.008578250,1,0,0
0.008579375,0,0,0
0.008580625,1,0,0
0.008581750,0,0,0
0.008582417,0,1,0
0.008583167,1,1,0
