Time [s],Channel 3,Channel 4,Channel 5
0.000000000,0,1,0
0.002836750,0,0,0
0.002839250,0,0,1
0.002840375,0,0,0
0.002841625,0,0,1
0.002842750,0,0,0
0.002844000,0,0,1
0.002845167,0,0,0
0.002846417,0,0,1
0.002847542,0,0,0
0.002848792,0,0,1
0.002849917,0,0,0
0.002850542,1,0,0
0.002851292,1,0,1
0.002852417,1,0,0
0.002853792,1,0,1
0.002854958,1,0,0
0.002856333,1,0,1
0.002857333,1,0,0
0.002858333,0,0,0
0.002859208,0,0,1
0.002860708,0,0,0
0.002861208,0,0,1
0.002862708,0,0,0
0.002862750,1,0,0
0.002863208,1,0,1
0.002864750,0,0,0
0.002865250,0,0,1
0.002866750,1,0,0
0.002867250,1,0,1
0.002868750,1,0,0
0.002869250,1,0,1
0.002870750,1,0,0
0.002871250,1,0,1
0.002872750,1,0,0
0.002872792,0,0,0
0.002873250,0,0,1
0.002874667,0,0,0
0.002875667,0,1,0
0.002875833,1,1,0
0.002880542,1,0,0
0.002883292,1,0,1
0.002884458,1,0,0
0.002885833,1,0,1
0.002886958,1,0,0
0.002888333,1,0,1
0.002889458,1,0,0
0.002890208,0,0,0
0.002890708,0,0,1
0.002891833,0,0,0
0.002893125,0,0,1
0.002894250,0,0,0
0.002895500,0,0,1
0.002896625,0,0,0
0.002897875,0,0,1
0.002899000,0,0,0
0.002899625,1,0,0
0.002900375,1,0,1
0.002901375,1,0,0
0.002903792,0,0,0
0.002904292,0,0,1
0.002905417,0,0,0
0.002906667,0,0,1
0.002907792,0,0,0
0.002909042,0,0,1
0.002910167,0,0,0
0.002911417,0,0,1
0.002912583,0,0,0
0.002913833,0,0,1
0.002914958,0,0,0
0.002916208,0,0,1
0.002917333,0,0,0
0.002918583,0,0,1
0.002919708,0,0,0
0.002920958,0,0,1
0.002922000,0,0,0
0.002922750,0,1,0
0.002926500,0,0,0
0.002928500,1,0,0
0.002929250,1,0,1
0.002930375,1,0,0
0.002931792,1,0,1
0.002932917,1,0,0
0.002934292,1,0,1
0.002935417,1,0,0
0.002936167,0,0,0
0.002936667,0,0,1
0.002937792,0,0,0
0.002939042,0,0,1
0.002940167,0,0,0
0.002941458,0,0,1
0.002942583,0,0,0
0.002943208,1,0,0
0.002943958,1,0,1
0.002945083,1,0,0
0.002945833,0,0,0
0.002946333,0,0,1
0.002947333,0,0,0
0.002950208,0,0,1
0.002951375,0,0,0
0.002952625,0,0,1
0.002953750,0,0,0
0.002955000,0,0,1
0.002956125,0,0,0
0.002957375,0,0,1
0.002958500,0,0,0
0.002959750,0,0,1
0.002960917,0,0,0
0.002962167,0,0,1
0.002963292,0,0,0
0.002964542,0,0,1
0.002965667,0,0,0
0.002966917,0,0,1
0.002967917,0,0,0
0.002968667,0,1,0
0.002973083,0,0,0
0.002975708,0,0,1
0.002976833,0,0,0
0.002978083,0,0,1
0.002979208,0,0,0
0.002979833,1,0,0
0.002980625,1,0,1
0.002981750,1,0,0
0.002982500,0,0,0
0.002983000,0,0,1
0.002984125,0,0,0
0.002985375,0,0,1
0.002986500,0,0,0
0.002987125,1,0,0
0.002987875,1,0,1
0.002989000,1,0,0
0.002990417,1,0,1
0.002991542,1,0,0
0.002992917,1,0,1
0.002993917,1,0,0
0.002996292,0,0,0
0.002996792,0,0,1
0.002997917,0,0,0
0.002998583,1,0,0
0.002999333,1,0,1
0.003000458,1,0,0
0.003001833,1,0,1
0.003002958,1,0,0
0.003004333,1,0,1
0.003005458,1,0,0
0.003006208,0,0,0
0.003006708,0,0,1
0.003007833,0,0,0
