Time [s],Channel 3,Channel 4,Channel 5
0.000000000,0,1,0
0.001364167,0,0,0
0.001366167,1,0,0
0.001366917,1,0,1
0.001368042,1,0,0
0.001369417,1,0,1
0.001370542,1,0,0
0.001371917,1,0,1
0.001373042,1,0,0
0.001373833,0,0,0
0.001374333,0,0,1
0.001375458,0,0,0
0.001376708,0,0,1
0.001377833,0,0,0
0.001379083,0,0,1
0.001380208,0,0,0
0.001381458,0,0,1
0.001382583,0,0,0
0.001383208,1,0,0
0.001383958,1,0,1
0.001385000,1,0,0
0.001387375,0,0,0
0.001387875,0,0,1
0.001389000,0,0,0
0.001390250,0,0,1
0.001391375,0,0,0
0.001392625,0,0,1
0.001393750,0,0,0
0.001395000,0,0,1
0.001396167,0,0,0
0.001397417,0,0,1
0.001398542,0,0,0
0.001399792,0,0,1
0.001400917,0,0,0
0.001402167,0,0,1
0.001403292,0,0,0
0.001404542,0,0,1
0.001405542,0,0,0
0.001406333,0,1,0
0.001410083,0,0,0
0.001412083,1,0,0
0.001412833,1,0,1
0.001413958,1,0,0
0.001415333,1,0,1
0.001416458,1,0,0
0.001417875,1,0,1
0.001419000,1,0,0
0.001419750,0,0,0
0.001420250,0,0,1
0.001421375,0,0,0
0.001422625,0,0,1
0.001423750,0,0,0
0.001425000,0,0,1
0.001426125,0,0,0
0.001426750,1,0,0
0.001427500,1,0,1
0.001428667,1,0,0
0.001429417,0,0,0
0.001429917,0,0,1
0.001430917,0,0,0
0.001433792,0,0,1
0.001434917,0,0,0
0.001436167,0,0,1
0.001437292,0,0,0
0.001438542,0,0,1
0.001439708,0,0,0
0.001440958,0,0,1
0.001442083,0,0,0
0.001443333,0,0,1
0.001444458,0,0,0
0.001445708,0,0,1
0.001446833,0,0,0
0.001448083,0,0,1
0.001449208,0,0,0
0.001450500,0,0,1
0.001451500,0,0,0
0.001452250,0,1,0
0.001456625,0,0,0
0.001459250,0,0,1
0.001460375,0,0,0
0.001461667,0,0,1
0.001462792,0,0,0
0.001463417,1,0,0
0.001464167,1,0,1
0.001465292,1,0,0
