Time [s],Channel 3,Channel 4,Channel 5
0.000000000,0,1,0
0.002644042,0,0,0
0.002646542,0,0,1
0.002647667,0,0,0
0.002648917,0,0,1
0.002650083,0,0,0
0.002651333,0,0,1
0.002652458,0,0,0
0.002653708,0,0,1
0.002654833,0,0,0
0.002656083,0,0,1
0.002657208,0,0,0
0.002657833,1,0,0
0.002658583,1,0,1
0.002659708,1,0,0
0.002661125,1,0,1
0.002662250,1,0,0
0.002663625,1,0,1
0.002664625,1,0,0
0.002665625,0,0,0
0.002666500,0,0,1
0.002668000,0,0,0
0.002668500,0,0,1
0.002670000,0,0,0
0.002670042,1,0,0
0.002670500,1,0,1
0.002672042,0,0,0
0.002672542,0,0,1
0.002674042,1,0,0
0.002674542,1,0,1
0.002676042,1,0,0
0.002676542,1,0,1
0.002678042,1,0,0
0.002678542,1,0,1
0.002680042,1,0,0
0.002680083,0,0,0
0.002680542,0,0,1
0.002681958,0,0,0
0.002682958,0,1,0
0.002683125,1,1,0
0.002687833,1,0,0
0.002690583,1,0,1
0.002691708,1,0,0
0.002693125,1,0,1
0.002694250,1,0,0
0.002695625,1,0,1
0.002696750,1,0,0
0.002697500,0,0,0
0.002698000,0,0,1
0.002699125,0,0,0
0.002700375,0,0,1
0.002701500,0,0,0
0.002702792,0,0,1
0.002703917,0,0,0
0.002705167,0,0,1
0.002706292,0,0,0
0.002706917,1,0,0
0.002707667,1,0,1
0.002708667,1,0,0
0.002711042,0,0,0
0.002711542,0,0,1
0.002712708,0,0,0
0.002713958,0,0,1
0.002715083,0,0,0
0.002716333,0,0,1
0.002717458,0,0,0
0.002718708,0,0,1
0.002719833,0,0,0
0.002721083,0,0,1
0.002722250,0,0,0
0.002723500,0,0,1
0.002724625,0,0,0
0.002725875,0,0,1
0.002727000,0,0,0
0.002728250,0,0,1
0.002729250,0,0,0
0.002730000,0,1,0
0.002733792,0,0,0
0.002735792,1,0,0
0.002736542,1,0,1
0.002737667,1,0,0
0.002739042,1,0,1
0.002740167,1,0,0
0.002741583,1,0,1
0.002742708,1,0,0
0.002743458,0,0,0
0.002743958,0,0,1
0.002745083,0,0,0
0.002746333,0,0,1
0.002747458,0,0,0
0.002748708,0,0,1
0.002749833,0,0,0
0.002750458,1,0,0
0.002751250,1,0,1
0.002752375,1,0,0
0.002753125,0,0,0
0.002753625,0,0,1
0.002754625,0,0,0
0.002757500,0,0,1
0.002758625,0,0,0
0.002759875,0,0,1
0.002761000,0,0,0
0.002762292,0,0,1
0.002763417,0,0,0
0.002764667,0,0,1
0.002765792,0,0,0
0.002767042,0,0,1
0.002768167,0,0,0
0.002769417,0,0,1
0.002770542,0,0,0
0.002771792,0,0,1
0.002772958,0,0,0
0.002774208,0,0,1
0.002775208,0,0,0
0.002775958,0,1,0
0.002780333,0,0,0
0.002783000,0,0,1
0.002784125,0,0,0
0.002785375,0,0,1
0.002786500,0,0,0
0.002787125,1,0,0
0.002787875,1,0,1
0.002789000,1,0,0
0.002789750,0,0,0
0.002790250,0,0,1
0.002791375,0,0,0
0.002792625,0,0,1
0.002793750,0,0,0
0.002794417,1,0,0
0.002795167,1,0,1
0.002796292,1,0,0
0.002797667,1,0,1
0.002798792,1,0,0
0.002800167,1,0,1
0.002801167,1,0,0
0.002803542,0,0,0
0.002804042,0,0,1
0.002805208,0,0,0
0.002805833,1,0,0
0.002806583,1,0,1
0.002807708,1,0,0
0.002809083,1,0,1
0.002810208,1,0,0
0.002811583,1,0,1
0.002812708,1,0,0
0.002813458,0,0,0
0.002813958,0,0,1
0.002815125,0,0,0
0.002816375,0,0,1
0.002817500,0,0,0
0.002818750,0,0,1
0.002819875,0,0,0
0.002821125,0,0,1
0.002822125,0,0,0
0.002822875,0,1,0
0.005646667,0,0,0
0.005648667,1,0,0
0.005649417,1,0,1
0.005650542,1,0,0
0.005651917,1,0,1
0.005653042,1,0,0
0.005654417,1,0,1
0.005655583,1,0,0
0.005656333,0,0,0
0.005656833,0,0,1
0.005657958,0,0,0
0.005659208,0,0,1
0.005660333,0,0,0
0.005661583,0,0,1
0.005662708,0,0,0
0.005663958,0,0,1
0.005665083,0,0,0
0.005665708,1,0,0
0.005666458,1,0,1
0.005667500,1,0,0
0.005669875,0,0,0
0.005670375,0,0,1
0.005671500,0,0,0
0.005672750,0,0,1
0.005673875,0,0,0
0.005675125,0,0,1
0.005676250,0,0,0
0.005677500,0,0,1
0.005678667,0,0,0
0.005679917,0,0,1
0.005681042,0,0,0
0.005682292,0,0,1
0.005683417,0,0,0
0.005684667,0,0,1
0.005685792,0,0,0
0.005687042,0,0,1
0.005688083,0,0,0
0.005688833,0,1,0
0.005692583,0,0,0
0.005694583,1,0,0
0.005695333,1,0,1
0.005696458,1,0,0
0.005697875,1,0,1
0.005699000,1,0,0
0.005700375,1,0,1
0.005701500,1,0,0
0.005702250,0,0,0
0.005702750,0,0,1
0.005703875,0,0,0
0.005705125,0,0,1
0.005706250,0,0,0
0.005707500,0,0,1
0.005708667,0,0,0
0.005709292,1,0,0
0.005710042,1,0,1
0.005711167,1,0,0
0.005711917,0,0,0
0.005712417,0,0,1
0.005713417,0,0,0
0.005716292,0,0,1
0.005717417,0,0,0
0.005718708,0,0,1
0.005719833,0,0,0
0.005721083,0,0,1
0.005722208,0,0,0
0.005723458,0,0,1
0.005724583,0,0,0
0.005725833,0,0,1
0.005726958,0,0,0
0.005728250,0,0,1
0.005729375,0,0,0
0.005730625,0,0,1
0.005731750,0,0,0
0.005733000,0,0,1
0.005734000,0,0,0
0.005734750,0,1,0
0.005739167,0,0,0
